Garaža,Datum,Vreme,Broj slobodnih mesta (LoRaWan),Kapacitet,Procenat,X,Y
Baba Višnjina,12/01/2022,09:00:00,104,351,30%,2279167,5590314
Botani?ka bašta,12/01/2022,09:00:00,16,246,7%,2279284,5592621
Dr Aleksandra Kosti?a,12/01/2022,09:00:00,0,59,0%,2277010,5590795
Masarikova,12/01/2022,09:00:00,115,457,25%,2277961,5591166
Obili?ev venac,12/01/2022,09:00:00,318,805,40%,2277302,5592563
Pionirski park,12/01/2022,09:00:00,222,459,48%,2277933,5591847
Vukov spomenik,12/01/2022,09:00:00,37,119,31%,2279729,5590893
Zeleni venac,12/01/2022,09:00:00,129,303,43%,2277306,5592146
Baba Višnjina,12/01/2022,  12:00:00,44,351,13%,2279167,5590314
Botani?ka bašta,12/01/2022,  12:00:00,0,246,0%,2279284,5592621
Dr Aleksandra Kosti?a,12/01/2022,  12:00:00,0,59,0%,2277010,5590795
Masarikova,12/01/2022,  12:00:00,9,457,2%,2277961,5591166
Obili?ev venac,12/01/2022,  12:00:00,108,805,13%,2277302,5592563
Pionirski park,12/01/2022,  12:00:00,24,459,5%,2277933,5591847
Vukov spomenik,12/01/2022,  12:00:00,0,119,0%,2279729,5590893
Zeleni venac,12/01/2022,  12:00:00,33,303,11%,2277306,5592146
Baba Višnjina,12/01/2022,15:00:00,19,351,5%,2279167,5590314
Botani?ka bašta,12/01/2022,15:00:00,2,246,1%,2279284,5592621
Dr Aleksandra Kosti?a,12/01/2022,15:00:00,32,59,54%,2277010,5590795
Masarikova,12/01/2022,15:00:00,91,457,20%,2277961,5591166
Obili?ev venac,12/01/2022,15:00:00,4,805,0%,2277302,5592563
Pionirski park,12/01/2022,15:00:00,22,459,5%,2277933,5591847
Vukov spomenik,12/01/2022,15:00:00,4,119,3%,2279729,5590893
Zeleni venac,12/01/2022,15:00:00,31,303,10%,2277306,5592146
Baba Višnjina,12/01/2022,18:00:00,136,351,39%,2279167,5590314
Botani?ka bašta,12/01/2022,18:00:00,2,246,1%,2279284,5592621
Dr Aleksandra Kosti?a,12/01/2022,18:00:00,42,59,71%,2277010,5590795
Masarikova,12/01/2022,18:00:00,337,457,74%,2277961,5591166
Obili?ev venac,12/01/2022,18:00:00,79,805,10%,2277302,5592563
Pionirski park,12/01/2022,18:00:00,225,459,49%,2277933,5591847
Vukov spomenik,12/01/2022,18:00:00,2,119,2%,2279729,5590893
Zeleni venac,12/01/2022,18:00:00,124,303,41%,2277306,5592146
Baba Višnjina,12/01/2022,21:00:00,142,351,40%,2279167,5590314
Botani?ka bašta,12/01/2022,21:00:00,10,246,4%,2279284,5592621
Dr Aleksandra Kosti?a,12/01/2022,21:00:00,45,59,76%,2277010,5590795
Masarikova,12/01/2022,21:00:00,328,457,72%,2277961,5591166
Obili?ev venac,12/01/2022,21:00:00,133,805,17%,2277302,5592563
Pionirski park,12/01/2022,21:00:00,281,459,61%,2277933,5591847
Vukov spomenik,12/01/2022,21:00:00,11,119,9%,2279729,5590893
Zeleni venac,12/01/2022,21:00:00,166,303,55%,2277306,5592146
